"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"2021-04-19 00:00:00",138456,"[04/19/2021 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2021-04-19 00:47:13",138457,"[04/19/2021 00:52:16.28] *** End of profile [3] ***",""
"2021-04-19 12:44:58",139855,"      [04/19/2021 12:46:16.65]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139856,"      [04/19/2021 12:46:17]    (DBG Cont. Move) : (511);newReading --  _CurrDept(14.25); _8PrevDpt(13.98);   BadCount(0)","Fltreset  OK  # data  5.03 14.25 330.29 -3.44 0.91 105.41 13.44 0.69 5.97 10.41   # "
"2021-04-19 12:44:58",139857,"      [04/19/2021 12:46:17.02]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(14.25); _Temp1(14.9);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139858,"      [04/19/2021 12:46:17.05]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139859,"      [04/19/2021 12:46:18.07]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139860,"      [04/19/2021 12:46:18.42]    (DBG Cont. Move) : (521);newReading --  _CurrDept(14.5); _8PrevDpt(14.25);   BadCount(0)","Fltreset  OK  # data  5.03 14.50 330.73 -3.45 0.93 105.39 13.44 0.68 5.97 10.41   # "
"2021-04-19 12:44:58",139861,"      [04/19/2021 12:46:18.44]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(14.5); _Temp1(15.15);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139862,"      [04/19/2021 12:46:18.47]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139863,"      [04/19/2021 12:46:19.49]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139864,"      [04/19/2021 12:46:19.84]    (DBG Cont. Move) : (531);newReading --  _CurrDept(14.75); _8PrevDpt(14.5);   BadCount(0)","Fltreset  OK  # data  5.01 14.75 330.61 -3.45 0.92 105.37 13.44 0.69 5.97 10.41   # "
"2021-04-19 12:44:58",139865,"      [04/19/2021 12:46:19.86]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(14.75); _Temp1(15.4);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139866,"      [04/19/2021 12:46:19.89]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139867,"      [04/19/2021 12:46:20.91]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139868,"      [04/19/2021 12:46:21.26]    (DBG Cont. Move) : (541);newReading --  _CurrDept(15.04); _8PrevDpt(14.75);   BadCount(0)","Fltreset  OK  # data  5.01 15.04 330.80 -3.46 0.91 105.36 13.44 0.70 5.97 10.41   # "
"2021-04-19 12:44:58",139869,"      [04/19/2021 12:46:21.28]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(15.04); _Temp1(15.69);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139870,"      [04/19/2021 12:46:21.31]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139871,"      [04/19/2021 12:46:22.33]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139872,"      [04/19/2021 12:46:22.68]    (DBG Cont. Move) : (551);newReading --  _CurrDept(15.28); _8PrevDpt(15.04);   BadCount(0)","Fltreset  OK  # data  5.01 15.28 331.11 -3.45 0.92 105.35 13.44 0.70 5.97 10.41   # "
