"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2020-05-24 12:00:00",94666,"[05/24/2020 12:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-24 12:44:46",94667,"[05/24/2020 12:49:00.66] *** End of profile [6] ***",""
"2020-05-24 23:52:00",94668,"[05/24/2020 23:52:00.01]        Turning modem OFF","ModemCounter (12897); modemCurrMin(1431); resetModem(53)"
"2020-05-24 23:53:01",94669,"[05/24/2020 23:53:01.01]        Turning modem back ON","ModemCounter (12958); modemCurrMin(1433); resetModem(0)"
"2020-05-25 00:00:00",94670,"[05/25/2020 00:00:00.02] *** Start of profile [7] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-25 00:00:00",94671,"[05/25/2020 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-25 00:46:08",94672,"[05/25/2020 00:50:53.18] *** End of profile [7] ***",""
"2020-05-25 12:00:00",94673,"[05/25/2020 12:00:00.02] *** Start of profile [8] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-25 12:00:00",94674,"[05/25/2020 12:00:05.80]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-25 12:45:01",94675,"[05/25/2020 12:49:07.38] *** End of profile [8] ***",""
"2020-05-25 23:52:00",94676,"[05/25/2020 23:52:00.01]        Turning modem OFF","ModemCounter (12959); modemCurrMin(1431); resetModem(53)"
"2020-05-25 23:53:01",94677,"[05/25/2020 23:53:01.01]        Turning modem back ON","ModemCounter (13020); modemCurrMin(1433); resetModem(0)"
"2020-05-26 00:00:00",94678,"[05/26/2020 00:00:00.02] *** Start of profile [9] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-26 00:00:00",94679,"[05/26/2020 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-26 00:46:11",94680,"[05/26/2020 00:50:54.33] *** End of profile [9] ***",""
"2020-05-26 12:00:00",94681,"[05/26/2020 12:00:00.02] *** Start of profile [10] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-26 12:00:00",94682,"[05/26/2020 12:00:05.80]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-26 12:44:24",94683,"[05/26/2020 12:48:18.67] *** End of profile [10] ***",""
"2020-05-26 23:52:00",94684,"[05/26/2020 23:52:00.01]        Turning modem OFF","ModemCounter (13021); modemCurrMin(1431); resetModem(53)"
"2020-05-26 23:53:01",94685,"[05/26/2020 23:53:01.01]        Turning modem back ON","ModemCounter (13082); modemCurrMin(1433); resetModem(0)"
"2020-05-27 00:00:00",94686,"[05/27/2020 00:00:00.02] *** Start of profile [11] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-27 00:00:00",94687,"[05/27/2020 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-27 00:45:59",94688,"[05/27/2020 00:50:39.96] *** End of profile [11] ***",""
"2020-05-27 12:00:00",94689,"[05/27/2020 12:00:00.02] *** Start of profile [12] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-27 12:00:00",94690,"[05/27/2020 12:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-27 12:44:30",94691,"[05/27/2020 12:48:29.60] *** End of profile [12] ***",""
"2020-05-27 23:52:00",94692,"[05/27/2020 23:52:00.01]        Turning modem OFF","ModemCounter (13083); modemCurrMin(1431); resetModem(53)"
"2020-05-27 23:53:01",94693,"[05/27/2020 23:53:01.01]        Turning modem back ON","ModemCounter (13144); modemCurrMin(1433); resetModem(0)"
"2020-05-28 00:00:00",94694,"[05/28/2020 00:00:00.02] *** Start of profile [13] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-28 00:00:00",94695,"[05/28/2020 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-28 00:46:02",94696,"[05/28/2020 00:50:43.30] *** End of profile [13] ***",""
"2020-05-28 12:00:00",94697,"[05/28/2020 12:00:00.02] *** Start of profile [14] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-28 12:00:00",94698,"[05/28/2020 12:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-28 12:45:25",94699,"[05/28/2020 12:49:55.84] *** End of profile [14] ***",""
"2020-05-28 23:52:00",94700,"[05/28/2020 23:52:00.01]        Turning modem OFF","ModemCounter (13145); modemCurrMin(1431); resetModem(53)"
"2020-05-28 23:53:01",94701,"[05/28/2020 23:53:01.01]        Turning modem back ON","ModemCounter (13206); modemCurrMin(1433); resetModem(0)"
"2020-05-29 00:00:00",94702,"[05/29/2020 00:00:00.02] *** Start of profile [15] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-29 00:00:00",94703,"[05/29/2020 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-29 00:46:05",94704,"[05/29/2020 00:50:49.89] *** End of profile [15] ***",""
"2020-05-29 12:00:00",94705,"[05/29/2020 12:00:00.02] *** Start of profile [16] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-29 12:00:00",94706,"[05/29/2020 12:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-29 12:44:45",94707,"[05/29/2020 12:48:47.21] *** End of profile [16] ***",""
"2020-05-29 23:52:00",94708,"[05/29/2020 23:52:00.01]        Turning modem OFF","ModemCounter (13207); modemCurrMin(1431); resetModem(53)"
"2020-05-29 23:53:01",94709,"[05/29/2020 23:53:01.01]        Turning modem back ON","ModemCounter (13268); modemCurrMin(1433); resetModem(0)"
"2020-05-30 00:00:00",94710,"[05/30/2020 00:00:00.02] *** Start of profile [17] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
