"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2020-07-17 00:34:53",1527,"11.9; 11.79; 11.56; 11.33; 11.14; (-1)11; (-1)10.55; ","[ (-1)  Curr( 10.55) PrevDpt( 11) ]; "
"2020-07-17 00:36:16",1528,"10.51; 10.29; 10.17; 9.979999; 9.68; 9.6; (-1)9.47; (-1)9.020001; ","[ (-1)  Curr( 9.020001) PrevDpt( 9.47) ]; "
"2020-07-17 00:37:41",1529,"8.979999; 8.76; 8.63; 8.32; 8.18; 8.01; (-1)7.76; (-1)7.63; (-1)7.48; ","[ (-1)  Curr( 7.48) PrevDpt( 7.63) ]; "
"2020-07-17 00:39:08",1530,"7.49; 7.25; 7.11; 6.88; 6.61; (-1)6.46; (-1)6.06; ","[ (-1)  Curr( 6.06) PrevDpt( 6.46) ]; "
"2020-07-17 00:40:31",1531,"6.08; 5.78; 5.58; 5.43; 5.14; (-1)4.99; (-1)4.56; ","[ (-1)  Curr( 4.56) PrevDpt( 4.99) ]; "
"2020-07-17 00:41:54",1532,"4.55; 4.45; 4.08; 3.94; 3.75; 3.52; (-1)3.33; (-1)3.02; ","[ (-1)  Curr( 3.02) PrevDpt( 3.33) ]; "
"2020-07-17 00:43:18",1533,"2.99; 2.76; 2.64; 2.32; 2.21; 1.93; (-1)1.72; (-1)1.61; (-1)1.47; ","[ (-1)  Curr( 1.47) PrevDpt( 1.61) ]; "
"2020-07-17 00:44:45",1534,"(-1)1.1; ","[ (-1)  Curr( 1.1) PrevDpt( 1.43) ]; "
"2020-07-17 00:26:53",1521,"",""
"2020-07-17 00:27:54",1522,"(-1)18.14; (-1)17.96; ","[ (-1)  Curr( 17.96) PrevDpt( 18.14) ]; "
"2020-07-17 00:29:12",1523,"17.95; 17.82; 17.53; 17.38; 17.1; (-1)16.95; (-1)16.6; ","[ (-1)  Curr( 16.6) PrevDpt( 16.95) ]; "
"2020-07-17 00:30:35",1524,"16.63; 16.36; 16.11; 15.95; 15.74; 15.46; (-1)15.4; (-1)15.07; ","[ (-1)  Curr( 15.07) PrevDpt( 15.4) ]; "
"2020-07-17 00:31:59",1525,"15.02; 14.67; 14.63; 14.32; 14.14; (-1)13.96; (-1)13.66; (-1)13.47; ","[ (-1)  Curr( 13.47) PrevDpt( 13.66) ]; "
"2020-07-17 00:33:26",1526,"13.37; 13.29; 12.98; 12.81; 12.69; 12.43; (-1)12.25; (-1)12.12; (-1)11.98; ","[ (-1)  Curr( 11.98) PrevDpt( 12.12) ]; "
"2020-07-17 00:34:53",1527,"11.9; 11.79; 11.56; 11.33; 11.14; (-1)11; (-1)10.55; ","[ (-1)  Curr( 10.55) PrevDpt( 11) ]; "
"2020-07-17 00:36:16",1528,"10.51; 10.29; 10.17; 9.979999; 9.68; 9.6; (-1)9.47; (-1)9.020001; ","[ (-1)  Curr( 9.020001) PrevDpt( 9.47) ]; "
