"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2014-08-05 12:24:03",29,"24.03; 23.81; 23.61; 23.37; 23.18; 22.93; (-1)22.77; (-1)22.54; ","[ (-1)  Curr( 22.54) PrevDpt( 22.77) ]; "
"2014-08-05 12:25:27",30,"22.51; 22.3; 22.07; 21.86; 21.63; (-1)21.46; (-1)21.06; ","[ (-1)  Curr( 21.06) PrevDpt( 21.46) ]; "
"2014-08-05 12:26:50",31,"21.03; 20.8; 20.59; 20.35; 20.14; (-1)19.95; (-1)19.58; ","[ (-1)  Curr( 19.58) PrevDpt( 19.95) ]; "
"2014-08-05 12:28:13",32,"19.52; 19.3; 19.05; 18.85; 18.65; (-1)18.45; (-1)18.04; ","[ (-1)  Curr( 18.04) PrevDpt( 18.45) ]; "
"2014-08-05 12:29:36",33,"18; 17.78; 17.53; 17.32; 17.06; (-1)16.89; (-1)16.54; ","[ (-1)  Curr( 16.54) PrevDpt( 16.89) ]; "
"2014-08-05 12:30:59",34,"16.47; 16.24; 16.03; 15.79; 15.57; (-1)15.38; (-1)15.06; ","[ (-1)  Curr( 15.06) PrevDpt( 15.38) ]; "
"2014-08-05 12:32:22",35,"15.01; 14.8; 14.55; 14.34; 14.11; (-1)13.94; (-1)13.55; ","[ (-1)  Curr( 13.55) PrevDpt( 13.94) ]; "
"2014-08-05 12:33:45",36,"13.49; 13.25; 13.03; 12.82; 12.58; (-1)12.41; (-1)12.06; ","[ (-1)  Curr( 12.06) PrevDpt( 12.41) ]; "
"2014-08-05 12:35:08",37,"12.01; 11.78; 11.58; 11.34; 11.13; (-1)10.94; (-1)10.53; ","[ (-1)  Curr( 10.53) PrevDpt( 10.94) ]; "
"2014-08-05 12:36:31",38,"10.49; 10.27; 10.02; 9.79; 9.54; (-1)9.36; (-1)9.03; ","[ (-1)  Curr( 9.03) PrevDpt( 9.36) ]; "
"2014-08-05 12:37:54",39,"9; 8.770001; 8.51; 8.3; 8.04; (-1)7.86; (-1)7.53; ","[ (-1)  Curr( 7.53) PrevDpt( 7.86) ]; "
"2014-08-05 12:39:17",40,"7.47; 7.24; 6.98; 6.76; 6.53; (-1)6.32; (-1)6.02; ","[ (-1)  Curr( 6.02) PrevDpt( 6.32) ]; "
"2014-08-05 12:40:39",41,"5.96; 5.74; 5.48; 5.26; 5.03; (-1)4.83; (-1)4.52; ","[ (-1)  Curr( 4.52) PrevDpt( 4.83) ]; "
"2014-08-05 12:42:01",42,"4.47; 4.25; 3.98; 3.75; 3.53; (-1)3.33; (-1)3.02; ","[ (-1)  Curr( 3.02) PrevDpt( 3.33) ]; "
"2014-08-05 12:43:23",43,"2.97; 2.76; 2.49; 2.27; 2.02; (-1)1.85; (-1)1.51; ","[ (-1)  Curr( 1.51) PrevDpt( 1.85) ]; "
"2014-08-05 12:44:46",44,"(-1)1.05; ","[ (-1)  Curr( 1.05) PrevDpt( 1.51) ]; "
"2014-08-12 12:03:45",45,"",""
