"TOA5","OwascoWinchDirect","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2020-10-10 00:40:08",1924,"7.56; 7.27; 7.15; 6.99; 6.71; 6.57; (-1)6.38; (-1)5.99; ","[ (-1)  Curr( 5.99) PrevDpt( 6.38) ]; "
"2020-10-10 00:41:32",1925,"6.02; 5.84; 5.67; 5.34; 5.22; 5.03; (-1)4.77; (-1)4.56; ","[ (-1)  Curr( 4.56) PrevDpt( 4.77) ]; "
"2020-10-10 00:42:56",1926,"4.56; 4.37; 4.18; 3.92; 3.79; 3.5; (-1)3.44; (-1)3.02; ","[ (-1)  Curr( 3.02) PrevDpt( 3.44) ]; "
"2020-10-10 00:44:21",1927,"2.9; 2.8; 2.48; 2.37; 2.13; (-1)1.91; (-1)1.63; (-1)1.47; ","[ (-1)  Curr( 1.47) PrevDpt( 1.63) ]; "
"2020-10-10 00:45:48",1928,"(-1)1.12; (-1)1.02; ","[ (-1)  Curr( 1.02) PrevDpt( 1.12) ]; "
"2020-10-13 00:09:54",1929,"",""
"2020-10-13 00:10:55",1930,"(-1)36.31; (-1)35.98; ","[ (-1)  Curr( 35.98) PrevDpt( 36.31) ]; "
"2020-10-13 00:12:15",1931,"35.92; 35.83; 35.67; 35.51; 35.35; 35.15; (-1)34.99; (-1)34.73; (-1)34.56; ","[ (-1)  Curr( 34.56) PrevDpt( 34.73) ]; "
"2020-10-13 00:13:44",1932,"34.42; 34.35; 34.11; 34.04; 33.67; 33.73; 33.31; (-1)33.31; (-1)33.08; ","[ (-1)  Curr( 33.08) PrevDpt( 33.31) ]; "
"2020-10-13 00:15:09",1933,"32.97; 32.92; 32.65; 32.5; 32.29; 32.23; 31.92; (-1)31.84; (-1)31.62; (-1)31.45; ","[ (-1)  Curr( 31.45) PrevDpt( 31.62) ]; "
